Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1993-01-29,24.113262176513672,24.130412434107207,24.010360630952444,24.130412434107207,1003200
1993-02-01,24.284767150878906,24.284767150878906,24.130414817292813,24.130414817292813,480500
1993-02-02,24.336217880249023,24.353368139502194,24.216166065476827,24.26761684323634,201300
1993-02-03,24.593469619750977,24.610619877505336,24.353366011189948,24.370516268944307,529400
1993-02-04,24.696372985839844,24.747823762893674,24.404818582534787,24.679222726821898,531500
1993-02-05,24.679216384887695,24.730667148719984,24.542014348001594,24.679216384887695,492100
1993-02-08,24.679216384887695,24.76496765794151,24.64491587566617,24.679216384887695,596100
1993-02-09,24.507719039916992,24.593470331169325,24.45626826516559,24.593470331169325,122100
1993-02-10,24.542016983032227,24.55916723948438,24.439115444319302,24.507716470127917,379600
1993-02-11,24.662073135375977,24.76497469226906,24.57632183796507,24.57632183796507,19500
1993-02-12,24.47340202331543,24.627754243504526,24.47340202331543,24.627754243504526,42500
1993-02-16,23.85601234436035,24.404820680104084,23.82171182337637,24.404820680104084,374800
1993-02-17,23.838857650756836,23.890308422664944,23.753106364243322,23.85600790805954,210900
1993-02-18,23.82172393798828,24.11327851462313,23.495868822925807,24.11327851462313,378100
1993-02-19,23.90746307373047,23.90746307373047,23.78741125054818,23.821711771457405,34900
1993-02-22,23.993196487426758,24.02749698276261,23.907445249087136,23.976046239758837,513600
1993-02-23,23.976062774658203,24.078964331630985,23.856010958189955,24.061814072135522,373700
1993-02-24,24.284767150878906,24.284767150878906,23.99321274299406,23.99321274299406,26300
1993-02-25,24.336217880249023,24.353368139502194,24.216166065476827,24.26761684323634,44500
1993-02-26,24.370519638061523,24.387669898186832,24.250467817184376,24.387669898186832,66200
1993-03-01,24.301902770996094,24.456255011602277,24.267602273083607,24.456255011602277,66500
1993-03-02,24.662073135375977,24.662073135375977,24.284767426768,24.31906794573236,182400
1993-03-03,24.76497459411621,24.78212485353042,24.66207303763096,24.696373556459378,280100
1993-03-04,24.627779006958008,24.79928164628223,24.627779006958008,24.79928164628223,89500
1993-03-05,24.559165954589844,24.76496902124842,24.542015699034962,24.66206748791913,40000
1993-03-08,25.107973098754883,25.107973098754883,24.61061570813747,24.61061570813747,50800
1993-03-09,25.022218704223633,25.073669462354317,24.97076794609295,25.05651920964409,169300
1993-03-10,25.073673248291016,25.073673248291016,24.919320950592915,25.022222482391648,194400
1993-03-11,25.005064010620117,25.159416257599254,24.97076351129142,25.09081525894186,70900
1993-03-12,24.747814178466797,24.816415187970513,24.593461907083427,24.799264935594586,643600
1993-03-15,24.86786651611328,24.867866516113278,24.730664493955413,24.730664493955413,310800
1993-03-16,24.86786651611328,24.93646752719221,24.867866516113278,24.867866516113278,30800
1993-03-17,24.713518142700195,24.833569931040863,24.67921763174572,24.833569931040863,21800
1993-03-18,24.86786651611328,24.97076803273168,24.81641575780408,24.81641575780408,59300
1993-03-19,24.83023452758789,24.968084545784073,24.830234527587887,24.968084545784073,66900
1993-03-22,24.6923770904541,24.74407083174605,24.57175836077289,24.588989607870204,183400
1993-03-23,24.74408721923828,24.778549736256718,24.70962470221984,24.761318477747498,55200
1993-03-24,24.74408721923828,24.84747477029359,24.589005892655308,24.70962470221984,37200
1993-03-25,24.899154663085938,24.950848409791305,24.72684217406804,24.76130467187162,110100
1993-03-26,24.76131820678711,24.899168273352384,24.744086948466453,24.881937015031724,101500
1993-03-29,24.86469841003418,24.985317182640028,24.778542143887144,24.778542143887144,87100
1993-03-30,24.93362045288086,24.93362045288086,24.864695448173517,24.899157950527187,56000
1993-03-31,24.91640281677246,25.07148416210507,24.91640281677246,25.00255911973502,111600
1993-04-01,24.83023452758789,24.95085329350955,24.77854077076432,24.95085329350955,129500
1993-04-02,24.31329917907715,24.623461748335394,24.31329917907715,24.623461748335394,59400
1993-04-05,24.433917999267578,24.50284301478032,24.364992983754835,24.50284301478032,172200
1993-04-06,24.36497688293457,24.485595580374838,24.2960519129687,24.485595580374838,129700
1993-04-07,24.451154708862305,24.451154708862305,24.347767162524622,24.399460935693465,28000
1993-04-08,24.416685104370117,24.55453512613085,24.313297588049565,24.55453512613085,180800
1993-04-12,24.76131820678711,24.77854946510777,24.62346814022184,24.657930656863154,348500
1993-04-13,24.81300926208496,24.899165544244976,24.726852979924942,24.744084236356944,146100
1993-04-14,24.778553009033203,24.847478052173766,24.761321748248058,24.830246791388625,119600
1993-04-15,24.778553009033203,24.830246791388625,24.675165444322353,24.761321748248058,148600
1993-04-16,24.778553009033203,24.830246791388625,24.74409048746292,24.79578426981834,47900
1993-04-19,24.675151824951172,24.847464337695243,24.657920573676765,24.778539332597614,157000
1993-04-20,24.55455207824707,24.675170930561265,24.399470696700245,24.640708401328638,279500
1993-04-21,24.53729820251465,24.606223197465532,24.468373207563765,24.606223197465532,67900
1993-04-22,24.227140426635742,24.64069047659254,24.227140426635742,24.43391545161414,97700
1993-04-23,24.123762130737305,24.244380941390993,24.08929961340768,24.17545590673174,106000
1993-04-26,23.93422508239746,24.227156562887565,23.865300028164494,24.141000245096357,62600
1993-04-27,24.192686080932617,24.192686080932617,23.89975469676178,23.89975469676178,156800
1993-04-28,24.1409912109375,24.20991623937701,24.10652869671775,24.158222468047377,85900
1993-04-29,24.244373321533203,24.244373321533203,24.054829535792717,24.1926795617858,85000
1993-04-30,24.27882957458496,24.41667956507231,24.278829574584957,24.330523321017715,88500
1993-05-03,24.433917999267578,24.433917999267578,24.209911698851162,24.31329922212028,80500
1993-05-04,24.520071029663086,24.606227287673143,24.451146023255035,24.48560852645906,149100
1993-05-05,24.588998794555664,24.675155062231052,24.520073780415355,24.520073780415355,109000
1993-05-06,24.50284194946289,24.57176696197896,24.48561069633387,24.554535708849944,54700
1993-05-07,24.451154708862305,24.520079739754095,24.416692193416413,24.520079739754095,68000
1993-05-10,24.50284194946289,24.64069197449503,24.48561069633387,24.48561069633387,113900
1993-05-11,24.606220245361328,24.606220245361328,24.43390777865712,24.502832765338802,42600
1993-05-12,24.571762084960938,24.588993334669887,24.502837086125144,24.502837086125144,31000
1993-05-13,24.27882957458496,24.46837331150507,24.261598325774038,24.46837331150507,129100
1993-05-14,24.261611938476562,24.347768230871722,24.244380679997533,24.278843196955595,63500
1993-05-17,24.347761154174805,24.347761154174805,24.227142379879528,24.33052990070405,34000
1993-05-18,24.330543518066406,24.38223730741074,24.24438720249252,24.365006044295964,105200
1993-05-19,24.83023452758789,24.830234527587887,24.175446941156007,24.330528211626717,50200
1993-05-20,24.899154663085938,24.899154663085934,24.778535920773407,24.830229667478775,98200
1993-05-21,24.675151824951172,24.95085184534169,24.657920573676765,24.916389342792872,221400
1993-05-24,24.778553009033203,24.864709312958908,24.726859226677778,24.726859226677778,30500
1993-05-25,24.83023452758789,24.881928284411458,24.830234527587887,24.881928284411458,191800
1993-05-26,25.140390396118164,25.157621643819407,24.88192168059947,24.899152928300715,102400
1993-05-27,25.054244995117188,25.17486378120097,25.019782484807532,25.17486378120097,53800
1993-05-28,24.93362045288086,25.03700795994187,24.81300169464301,25.03700795994187,79100
1993-06-01,25.17485809326172,25.261014349569937,24.985314329383634,25.019776831906924,28300
1993-06-02,25.140390396118164,25.226546634624395,25.002540414508193,25.10592790071567,20300
1993-06-03,25.054244995117188,25.08870750542684,25.002551229652706,25.08870750542684,21600
1993-06-04,24.968095779418945,24.985327039446148,24.864708219255718,24.985327039446148,32000
1993-06-07,24.88193130493164,25.01978133986201,24.88193130493164,25.01978133986201,121400
1993-06-08,24.657928466796875,24.813009777908803,24.65792846679687,24.813009777908803,104500
1993-06-09,24.74408721923828,24.84747477029359,24.70962470221984,24.744087219238278,43300
1993-06-10,24.76131820678711,24.77854946510777,24.675161915183814,24.726855690145793,17900
1993-06-11,24.86469841003418,24.899160916492992,24.761310890657736,24.847467156804772,647400
1993-06-14,24.83023452758789,24.916390788960506,24.830234527587887,24.899159536685982,64200
1993-06-15,24.778553009033203,24.88194057374405,24.7785530090332,24.864709312958908,142400
1993-06-16,24.83023452758789,24.830234527587887,24.709615761666228,24.77854077076432,330900
1993-06-17,24.91640281677246,24.91640281677246,24.8302465138099,24.881940295587437,37400
1993-06-18,24.711204528808594,24.902091642444056,24.711204528808597,24.902091642444056,58500
1993-06-21,24.763269424438477,24.780622801750628,24.728562669814174,24.780622801750628,29300
1993-06-22,24.780614852905273,24.797968224651004,24.745908109413808,24.797968224651004,137500
1993-06-23,24.555030822753906,24.780624745507122,24.555030822753906,24.780624745507122,227600
1993-06-24,24.884742736816406,24.884742736816403,24.624442080573555,24.624442080573555,243700
1993-06-25,24.867387771606445,24.93680127550486,24.850034395631845,24.867387771606445,44800
1993-06-28,25.145061492919922,25.145061492919922,24.95417420760445,24.988880986752715,439900
1993-06-29,25.023576736450195,25.110343646077276,24.988869972599364,25.110343646077276,207500
1993-06-30,25.023576736450195,25.110343646077276,24.988869972599364,25.058283500301027,437600
1993-07-01,24.954158782958984,25.05827905604504,24.91945202526363,25.05827905604504,605700
1993-07-02,24.815326690673828,24.88474019190648,24.72855981413301,24.86738681659832,285400
1993-07-06,24.555030822753906,24.85003826020042,24.52032406540726,24.780624745507122,246400
1993-07-07,24.62444305419922,24.6591498097372,24.53767616535426,24.53767616535426,343700
1993-07-08,24.90209197998047,24.9541521025867,24.60708461854516,24.641791366949313,248200
1993-07-09,24.971508026123047,24.971508026123047,24.850034394307297,24.90209452222833,378200
1993-07-12,24.954158782958984,24.97151216180666,24.902098646415954,24.936805404111308,373700
1993-07-13,24.93680191040039,25.04092216889893,24.797974899069004,24.971508663233237,389600
1993-07-14,25.023576736450195,25.092990264151858,24.936809826823115,24.95416320874853,617300
1993-07-15,24.919448852539062,25.006215735730358,24.867388722624288,25.006215735730358,443800
1993-07-16,24.850025177001953,24.954145394224025,24.815318437927925,24.936792024687012,216400
1993-07-19,24.832677841186523,24.85003121493997,24.763264346172722,24.85003121493997,188200
1993-07-20,24.90209197998047,24.90209197998047,24.693851489555545,24.815325108970082,68500
1993-07-21,24.884742736816406,24.884742736816403,24.79797585140212,24.867389359733547,142700
1993-07-22,24.711204528808594,24.884738268477196,24.711204528808597,24.850031520543475,632400
1993-07-23,24.832677841186523,24.83267784118652,24.745910972419274,24.763264346172722,286200
1993-07-26,24.971508026123047,25.02356815404408,24.90209452222833,24.90209452222833,121300
1993-07-27,24.954158782958984,25.006218919502015,24.8673918887206,24.988865540654338,92800
1993-07-28,24.90209197998047,24.9541521025867,24.867385231576314,24.90209197998047,30800
1993-07-29,25.040918350219727,25.110331845300028,24.91944473382919,24.954151481369344,331000
